                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.40194,                0.30565,                0.80663,                0.99939,                0.99998,                  0.995,                0.97202,                0.27733,                0.15395,                 0.7752,               0.006436,               0.006436,               0.006436
                     39,                0.39948,                0.30281,                0.80596,                 0.9994,                0.99999,                  0.995,                 0.9724,                0.27678,                0.15338,                0.77515,               0.006337,               0.006337,               0.006337
                     40,                0.39809,                0.30137,                0.80647,                 0.9994,                      1,                  0.995,                0.97253,                0.27628,                0.15302,                0.77503,               0.006238,               0.006238,               0.006238
                     41,                0.39634,                 0.2992,                0.80529,                0.99941,                      1,                  0.995,                0.97242,                0.27557,                0.15193,                 0.7749,               0.006139,               0.006139,               0.006139
                     42,                0.39667,                0.29912,                0.80506,                0.99944,                      1,                  0.995,                0.97242,                0.27535,                0.15154,                0.77483,                0.00604,                0.00604,                0.00604
                     43,                 0.3944,                0.29539,                0.80432,                0.99945,                      1,                  0.995,                 0.9726,                 0.2748,                0.15173,                0.77474,               0.005941,               0.005941,               0.005941
                     44,                0.39272,                0.29537,                0.80484,                0.99944,                      1,                  0.995,                0.97311,                0.27457,                0.15127,                0.77465,               0.005842,               0.005842,               0.005842
                     45,                0.39205,                0.29318,                0.80409,                0.99944,                      1,                  0.995,                0.97309,                0.27437,                0.15072,                0.77454,               0.005743,               0.005743,               0.005743
                     46,                 0.3904,                0.29174,                0.80372,                0.99944,                      1,                  0.995,                0.97303,                0.27415,                0.15061,                0.77443,               0.005644,               0.005644,               0.005644
                     47,                0.38792,                0.28918,                0.80425,                0.99944,                      1,                  0.995,                0.97363,                0.27395,                0.15044,                0.77443,               0.005545,               0.005545,               0.005545
                     48,                0.38765,                0.28854,                0.80334,                0.99946,                      1,                  0.995,                0.97354,                0.27376,                0.14987,                0.77441,               0.005446,               0.005446,               0.005446
                     49,                 0.3859,                0.28516,                 0.8032,                0.99946,                      1,                  0.995,                0.97386,                 0.2736,                0.14992,                0.77433,               0.005347,               0.005347,               0.005347
